Protocolo,IP de Origem,IP de Destino,tamanho medio dos pacotes,tamanho minimo dos pacotes,tamanho maximo dos pacotes,soma do tamanho dos pacotes,duracao do fluxo,media do intervalo de tempo,intervalo minimo de tempo,intervalo maximo de tempo,taxa de media de bits por segundo
TCP,104.18.32.47,10.40.3.139,60.0,60,60,60,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,104.18.32.47,54.0,54,54,54,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,172.217.192.84,54.0,54,54,108,0.06692600000000226,0.06692600000000226,0.06692600000000226,0.06692600000000226,12909.780952095909
TCP,172.217.192.84,10.40.3.139,60.0,60,60,120,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,172.217.28.138,54.0,54,54,108,0.01717299999999966,0.01717299999999966,0.01717299999999966,0.01717299999999966,50311.53554999226
TCP,172.217.28.138,10.40.3.139,60.0,60,60,120,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,189.125.184.239,55.411764705882355,54,66,4710,5.071649000000001,0.06037677380952382,1.699999999971169e-05,0.41020800000000435,7429.536231706886
TCP,189.125.184.239,10.40.3.139,4049.439024390244,66,29254,332054,4.844515999999999,0.05980883950617282,0.0,0.4103679999999983,548337.9557421218
TCP,10.40.3.139,172.217.28.131,58.0,54,66,174,0.08956299999999828,0.04478149999999914,0.016958999999999946,0.07260399999999834,15542.132353762454
TCP,172.217.28.131,10.40.3.139,63.0,60,66,126,0.017519999999997538,0.017519999999997538,0.017519999999997538,0.017519999999997538,57534.24657535055
TCP,10.40.3.139,142.251.132.202,54.75,54,66,876,0.5510659999999987,0.03673773333333325,0.000816000000000372,0.18488400000000382,12717.16999415681
TCP,142.251.132.202,10.40.3.139,60.8,60,66,912,0.5514650000000003,0.039390357142857164,0.0,0.11743699999999535,13230.214066169196
TCP,10.40.3.139,20.72.205.209,60.0,54,66,120,0.19422300000000092,0.19422300000000092,0.19422300000000092,0.19422300000000092,4942.771968304452
TCP,10.40.3.139,104.18.0.181,54.0,54,54,108,0.012921999999996103,0.012921999999996103,0.012921999999996103,0.012921999999996103,66862.71475005886
TCP,20.72.205.209,10.40.3.139,63.0,60,66,126,0.005047000000004687,0.005047000000004687,0.005047000000004687,0.005047000000004687,199722.60748941233
TCP,10.40.3.139,189.125.184.235,58.8,54,66,294,0.23297999999999774,0.058244999999999436,6.799999999884676e-05,0.22875299999999754,10095.28714911161
TCP,189.125.184.235,10.40.3.139,8919.75,66,19034,35679,0.004005000000006476,0.0013350000000021585,0.0,0.004005000000006476,71268913.85756268
